code,status,rows,last_date
sh.601872,ok,1942,2025-12-31
sh.601877,ok,1942,2025-12-31
sh.601878,ok,1942,2025-12-31
sh.601880,ok,1926,2025-12-31
sh.601881,ok,1942,2025-12-31
sh.601888,ok,1942,2025-12-31
sh.601898,ok,1942,2025-12-31
sh.601899,ok,1938,2025-12-31
sh.601901,ok,1942,2025-12-31
sh.601916,ok,1475,2025-12-31
sh.601918,ok,1942,2025-12-31
sh.601919,ok,1942,2025-12-31
sh.601921,ok,1078,2025-12-31
sh.601928,ok,1942,2025-12-31
sh.601933,ok,1941,2025-12-31
sh.601939,ok,1942,2025-12-31
sh.601958,ok,1942,2025-12-31
sh.601965,ok,1942,2025-12-31
sh.601966,ok,1938,2025-12-31
sh.601969,ok,1932,2025-12-31
sh.601975,ok,1694,2025-12-31
sh.601985,ok,1942,2025-12-31
sh.601988,ok,1942,2025-12-31
sh.601989,fail,0,
sh.601990,ok,1835,2025-12-31
sh.601991,ok,1942,2025-12-31
sh.601992,ok,1942,2025-12-31
sh.601995,ok,1236,2025-12-31
sh.601997,ok,1942,2025-12-31
sh.601998,ok,1942,2025-12-31
sh.603000,ok,1942,2025-12-31
sh.603001,ok,1930,2025-12-31
sh.603019,ok,1929,2025-12-31
sh.603025,ok,1932,2025-12-31
sh.603026,ok,1942,2025-12-31
sh.603049,ok,144,2025-12-31
sh.603056,fail,0,
sh.603077,ok,1942,2025-12-31
sh.603087,ok,1340,2025-12-31
sh.603127,ok,1942,2025-12-31
sh.603129,ok,1942,2025-12-31
sh.603156,ok,1913,2025-12-31
sh.603160,ok,1932,2025-12-31
sh.603169,ok,1942,2025-12-31
sh.603179,ok,1942,2025-12-31
sh.603185,ok,1700,2025-12-31
sh.603188,ok,1910,2025-12-31
sh.603195,ok,1436,2025-12-31
sh.603198,ok,1942,2025-12-31
sh.603218,ok,1942,2025-12-31
sh.603225,ok,1942,2025-12-31
sh.603228,ok,1942,2025-12-31
sh.603233,ok,1942,2025-12-31
sh.603256,ok,1567,2025-12-31
sh.603259,ok,1861,2025-12-31
sh.603260,ok,1942,2025-12-31
sh.603267,ok,1613,2025-12-31
sh.603288,ok,1942,2025-12-31
sh.603290,ok,1438,2025-12-31
sh.603296,ok,583,2025-12-31
sh.603298,ok,1942,2025-12-31
sh.603305,ok,1935,2025-12-31
sh.603317,ok,1631,2025-12-31
sh.603328,ok,1942,2025-12-31
sh.603338,ok,1942,2025-12-31
sh.603341,ok,448,2025-12-31
sh.603345,ok,1942,2025-12-31
sh.603355,ok,1942,2025-12-31
sh.603369,ok,1942,2025-12-31
sh.603377,ok,1899,2025-12-31
sh.603379,ok,1640,2025-12-31
sh.603392,ok,1378,2025-12-31
sh.603444,ok,1942,2025-12-31
sh.603456,ok,1919,2025-12-31
sh.603486,ok,1847,2025-12-31
sh.603501,ok,1856,2025-12-31
sh.603515,ok,1942,2025-12-31
sh.603517,ok,1941,2025-12-31
sh.603528,ok,1942,2025-12-31
sh.603529,ok,1106,2025-12-31
sh.603556,ok,1942,2025-12-31
sh.603565,ok,1276,2025-12-31
sh.603568,ok,1942,2025-12-31
sh.603569,ok,1942,2025-12-31
sh.603589,ok,1942,2025-12-31
sh.603596,ok,1866,2025-12-31
sh.603605,ok,1942,2025-12-31
sh.603606,ok,1942,2025-12-31
sh.603613,ok,1560,2025-12-31
sh.603638,ok,1942,2025-12-31
sh.603650,ok,1826,2025-12-31
sh.603658,ok,1942,2025-12-31
sh.603659,ok,1886,2025-12-31
sh.603688,ok,1942,2025-12-31
sh.603699,ok,1932,2025-12-31
sh.603707,ok,1942,2025-12-31
sh.603708,ok,1942,2025-12-31
sh.603712,ok,1905,2025-12-31
sh.603719,ok,1419,2025-12-31
sh.603728,ok,1942,2025-12-31
sh.603737,ok,1942,2025-12-31
sh.603766,ok,1941,2025-12-31
sh.603786,ok,1511,2025-12-31
sh.603799,ok,1930,2025-12-31
sh.603806,ok,1942,2025-12-31
sh.603816,ok,1938,2025-12-31
sh.603826,ok,1942,2025-12-31
sh.603833,ok,1942,2025-12-31
